Chr1	1131	19192827	hap1	0
Chr1	1131	19199366	hap2	0
Chr1	19199465	19510304	hap2	5
Chr1	19192911	20040009	hap1	5
Chr1	19510314	20477080	hap2	0
Chr1	20040048	23911618	hap1	1
Chr1	20477537	23921798	hap2	1
Chr1	23912005	43269864	hap1	0
Chr1	23921802	43269864	hap2	0
Chr2	450	17432369	hap1	0
Chr2	17432597	18006514	hap1	5
Chr2	18006819	35935728	hap1	0
Chr2	450	35935728	hap2	0
Chr3	1206	7015458	hap2	0
Chr3	1206	7495777	hap1	0
Chr3	7495915	7502550	hap1	3
Chr3	7503164	7789032	hap1	5
Chr3	7017663	7814561	hap2	3
Chr3	7789374	36413279	hap1	0
Chr3	7814691	36413279	hap2	0
Chr4	5308	17300407	hap1	0
Chr4	17314900	17938293	hap1	1
Chr4	17995330	35502207	hap1	0
Chr4	5308	35502207	hap2	0
Chr5	491	9142575	hap1	0
Chr5	491	9206837	hap2	0
Chr5	9143806	11268400	hap1	1
Chr5	9212666	12786370	hap2	1
Chr5	12786421	17647980	hap2	0
Chr5	17648241	18140834	hap2	1
Chr5	11302307	29449371	hap1	0
Chr5	18140880	29449371	hap2	0
Chr5	29450044	29920241	hap1	1
Chr5	29450044	29920241	hap2	1
Chr6	25335	350160	hap2	5
Chr6	25335	370384	hap1	5
Chr6	370397	839462	hap1	0
Chr6	359742	875924	hap2	0
Chr6	839706	1361268	hap1	3
Chr6	876249	1368198	hap2	3
Chr6	1361454	31237123	hap1	0
Chr6	1368400	31237123	hap2	0
Chr7	10802	256180	hap2	0
Chr7	256214	2333254	hap2	1
Chr7	10802	29672599	hap1	0
Chr7	2333318	29672599	hap2	0
Chr8	3410	28441981	hap1	0
Chr8	3410	28441981	hap2	0
Chr9	37868	8547601	hap1	0
Chr9	37868	8776559	hap2	0
Chr9	8558112	9324648	hap1	5
Chr9	8851690	9346369	hap2	5
Chr9	9346389	22223158	hap2	0
Chr9	22223225	22392782	hap2	5
Chr9	9335830	22939506	hap1	0
Chr9	22394899	22939506	hap2	0
Chr10	45338	375138	hap2	5
Chr10	45338	375542	hap1	5
Chr10	375281	18503372	hap2	0
Chr10	18504293	18600089	hap2	1
Chr10	375615	23199063	hap1	0
Chr10	18620839	23199063	hap2	0
Chr11	1242	29009386	hap1	0
Chr11	1242	29009386	hap2	0
Chr12	74839	27530227	hap1	0
Chr12	74839	27530227	hap2	0
